qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
c1aa9b640bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2774,0.5,155.0,1.0,1.0
dba424900baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2336,0.5,137.0,0.5,0.0
f4cc9d4908b311ebbd86ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4521,0.5,146.0,0.5,0.0
6b850e0e0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.3333,1.0,0.6062,1.0,160.0,1.0,1.0
abce7ee208b111ebbd85ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4904,0.5,157.0,0.5,0.0
6615041e0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1603,0.5,156.0,0.5,0.0
dc4754a80bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4155,0.5,142.0,0.5,0.0
6bd86dd4087f11ebbd6bac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.457,0.5,151.0,0.5,0.0
98ab6cfe08c411ebbd8eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.7372,0.5,156.0,0.5,0.0
c30b9f8108b211ebbd85ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.3529,0.5,153.0,1.0,1.0
49e0153808ac11ebbd82ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.7338,0.5,154.0,0.5,0.0
2fcc3e3e0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3514,0.5,148.0,1.0,1.0
8a6610400bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2642,0.5,159.0,0.5,0.0
e172d3b20baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6101,1.0,159.0,1.0,1.0
c365be0608ae11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.8592,1.0,142.0,1.0,1.0
a9406286088d11ebbd70ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.443,0.5,158.0,0.5,0.0
6b84004a0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2812,0.5,160.0,0.5,0.0
caa0a77908ac11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6352,0.5,159.0,0.5,0.0
63a51a37096711ebbdafac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3876,1.0,129.0,1.0,1.0
647eba07088f11ebbd72ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.838,1.0,142.0,1.0,1.0
6e765ee508f611ebbdaaac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3846,1.0,143.0,1.0,1.0
dc6e054e0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,142.0,0.5,0.0
5c82bfe20bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,151.0,1.0,1.0
47a59362091411ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3026,1.0,152.0,1.0,1.0
5bab48ec0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2548,0.5,157.0,0.5,0.0
