qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__557411_652060,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0
2hop__677929_696450,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2372,0.5,156.0,0.5,0.0
2hop__132909_33564,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.2838,0.5,148.0,0.5,0.0
2hop__199216_33564,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,159.0,0.5,0.0
2hop__133241_33564,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,159.0,0.5,0.0
2hop__636597_480615,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4777,0.5,157.0,0.5,0.0
2hop__373759_136043,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0
2hop__709357_136043,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,1.0,0.5734,0.5,143.0,1.0,1.0
2hop__32254_84601,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.2867,0.5,150.0,1.0,1.0
2hop__471509_136043,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4094,0.5,149.0,1.0,1.0
2hop__87589_362941,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3158,0.5,152.0,0.5,0.0
2hop__61318_362941,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3604,0.5,111.0,0.5,0.0
2hop__20268_42004,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4245,0.5,139.0,1.0,1.0
2hop__159902_362941,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0
2hop__42027_42004,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.0,0.0,158.0,1.0,1.0
2hop__648648_173389,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1818,0.5,154.0,0.5,0.0
2hop__477492_240386,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.5152,0.5,132.0,0.5,0.0
2hop__776377_857193,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3563,0.5,160.0,0.5,0.0
2hop__29752_814677,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0
2hop__77601_814677,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.5,0.5,156.0,1.0,1.0
2hop__497191_129669,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.5278,0.5,72.0,0.5,0.0
